Rank,Name,Total_net_worth,Last_change,YTD_change,Country,Industry
268,Gustaf Douglas,5700000000.0,-35400000.0,253000000.0,Sweden,Diversified
269,Dan Gilbert,5680000000.0,0,125000000.0,United States,Real Estate
270,John Tu,5670000000.0,-65800000.0,475000000.0,United States,Technology
271,David Sun,5670000000.0,-65800000.0,475000000.0,United States,Technology
272,Ricardo Salinas,5640000000.0,97900000.0,1790000.0,Mexico,Diversified
273,Ananda Krishnan,5640000000.0,-31300000.0,472000000.0,Malaysia,Diversified
274,Vikram Lal,5620000000.0,63100000.0,856000000.0,India,Industrial
275,Ira Rennert,5620000000.0,+941000,48100000.0,United States,Commodities
276,Bruce Halle,5620000000.0,79700000.0,-610000000.0,United States,Retail
277,Lin Yu-Lin,5570000000.0,+547000,130000000.0,Taiwan,Real Estate
278,Bob Rich,5560000000.0,24700000.0,270000000.0,United States,Food & Beverage
279,Kwon Hyuk-Bin,5550000000.0,121000000.0,93700000.0,Korea,Media & Telecom
280,Petr Aven,5530000000.0,-4300000.0,128000000.0,Russian,Diversified
281,Bidzina Ivanishvili,5520000000.0,0,75000000.0,Georgia,Diversified
282,Teh Hong Piow,5510000000.0,-3980000.0,228000000.0,Malaysia,Finance
283,Ralph Lauren,5470000000.0,35600000.0,-124000000.0,United States,Consumer
284,Ken Griffin,5470000000.0,+274000,-20900000.0,United States,Finance
285,Scott Duncan,5440000000.0,24300000.0,748000000.0,United States,Energy
286,Dannine Avara,5440000000.0,24300000.0,748000000.0,United States,Energy
287,Milane Duncan Frantz,5440000000.0,24300000.0,748000000.0,United States,Energy
288,Randa Duncan Williams,5440000000.0,24100000.0,748000000.0,United States,Energy
289,Pankaj Patel,5430000000.0,-23900000.0,1310000.0,India,Health Care
290,Mark Shoen,5410000000.0,-39100000.0,-296000000.0,United States,Services
291,Troels Holch Povlsen,5400000000.0,37200000.0,921000000.0,Denmark,Consumer
292,Steven Spielberg,5380000000.0,0,175000000.0,United States,Entertainment
293,Stef Wertheimer,5380000000.0,0,25000000.0,Israel,Diversified
294,Guenther Fielmann,5360000000.0,-38300000.0,708000000.0,Germany,Consumer
295,Rupert Johnson,5340000000.0,-58000000.0,218000000.0,United States,Finance
296,JK Irving,5300000000.0,-4430000.0,-17200000.0,Canada,Commodities
297,Xu Chuanhua,5300000000.0,86000000.0,-488000000.0,China,Industrial
298,Sultan Al Kabeer,5290000000.0,8130000.000000001,339000000.0,Saudi Arabia,Consumer
299,Tsai Eng-Meng,5290000000.0,32700000.000000004,287000000.0,Taiwan,Food & Beverage
300,Joao Moreira Salles,5280000000.0,58100000.0,535000000.0,Brazil,Finance
301,Walter Salles,5280000000.0,58100000.0,536000000.0,Brazil,Finance
302,Fernando Moreira Salles,5260000000.0,58100000.0,535000000.0,Brazil,Finance
303,Pedro Moreira Salles,5260000000.0,58100000.0,536000000.0,Brazil,Finance
304,Brian Acton,5250000000.0,14500000.0,527000000.0,United States,Technology
305,Maria-Elisabeth Schaeffler,5220000000.0,27500000.0,751000000.0,Germany,Industrial
306,Iskander Makhmudov,5200000000.0,78500000.0,-471000000.0,Russian,Commodities
307,Lino Saputo,5190000000.0,-48500000.0,-320000000.0,Canada,Food & Beverage
308,Frank Lowy,5190000000.0,22500000.0,99900000.0,Australia,Real Estate
309,Jim Davis,5170000000.0,-62700000.0,298000000.0,United States,Consumer
310,Andrew Forrest,5150000000.0,41100000.0,532000000.0,Australia,Commodities
311,Trevor Rees-Jones,5130000000.0,2520000.0,-87800000.0,United States,Energy
312,Charles Johnson,5130000000.0,-54800000.0,238000000.0,United States,Finance
313,George Roberts,5120000000.0,-7880000.0,327000000.0,United States,Finance
314,Gabe Newell,5120000000.0,27900000.0,614000000.0,United States,Technology
315,Philip Ng,5110000000.0,14200000.0,636000000.0,Singapore,Real Estate
316,Suleiman Kerimov,5100000000,67400000.0,716000000.0,Russian,Commodities
317,Ned Johnson III,590000000,-25300000.0,-112000000.0,United States,Finance
318,Joe Lewis,590000000,-16000000.0,138000000.0,United Kingdom,Diversified
319,Anthony Pratt,5060000000.0,7210000.0,359000000.0,Australia,Industrial
320,Kenneth Dart,5050000000.0,23900000.0,239000000.0,Cayman Islands,Finance
321,Richard Branson,5030000000.0,-402000,38000000.0,United Kingdom,Diversified
322,Robert Ng,5020000000.0,14600000.0,630000000.0,Singapore,Real Estate
323,Magdalena Martullo-Blocher,5010000000.0,-34900000.0,580000000.0,Switzerland,Industrial
324,Lynn Schusterman,5010000000.0,4700000.0,60300000.0,United States,Energy
325,Henry Kravis,5000000000.0,-7750000.0,292000000.0,United States,Finance
326,Chung Mong-Koo,5000000000.0,-45000000.0,370000000.0,Korea,Industrial
327,Nie Tengyun,5000000000.0,-12900000.0,1820000.0,China,Services
328,Thomas Schmidheiny,4990000000.0,4970000.0,388000000.0,Switzerland,Industrial
329,Tan Kim Choo,4990000000.0,26800000.0,707000000.0,Singapore,Real Estate
330,Indu Jain,4970000000.0,5140000.0,865000000.0,India,Media & Telecom
331,Abdullah Al Ghurair,4940000000.0,-2860000.0,180000000.0,United Arab Emirates,Diversified
332,Bobby Murphy,4940000000.0,15800000.0,2060000.0,United States,Technology
333,Evan Spiegel,4930000000.0,14800000.0,2060000.0,United States,Technology
334,Leon Black,4930000000.0,4640000.0,356000000.0,United States,Finance
335,Terry Pegula,4930000000.0,0,75000000.0,United States,Energy
336,Liu Yonghao,4920000000.0,-228000000.0,-176000000.0,China,Diversified
337,Kelcy Warren,4920000000.0,117000000.0,20000000.0,United States,Energy
338,Leonard Stern,4910000000.0,0,-135000000.0,United States,Real Estate
339,Rahel Blocher,4910000000.0,-34900000.0,580000000.0,Switzerland,Industrial
340,Pierre Bellon,4910000000.0,-35500000.0,10200000.0,France,Retail
341,Stan Druckenmiller,4910000000.0,0,0,United States,Finance
342,Ma Jianrong,4900000000.0,-54400000.0,142000000.0,China,Consumer
343,Jon Ramon Aboitiz,4900000000.0,-3270000.0,205000000.0,Philippines,Industrial
344,Li Shu Fu,4890000000.0,-124000000.0,1780000.0,China,Industrial
345,Aloys Wobben,4860000000.0,-20300000.0,-237000000.0,Germany,Energy
346,Mary Malone,4860000000.0,-7450000.0,-102000000.0,United States,Food & Beverage
347,Simon Reuben,4860000000.0,-135000,-278000000.0,United Kingdom,Diversified
348,David Reuben,4860000000.0,-270000,-283000000.0,United Kingdom,Diversified
349,David Shaw,4850000000.0,+733000,84500000.0,United States,Finance
350,Leandro Rizzuto,4850000000.0,-4090000.0,17300000.0,United States,Consumer
351,Ivan Glasenberg,4840000000.0,14700000.0,577000000.0,Australia,Commodities
352,Shahid Khan,4840000000.0,-94700,-63600000.0,United States,Consumer
353,Francis Choi,4820000000.0,-86100,-2080000.0,Hong Kong,Real Estate
354,Mikhail Gutseriev,4810000000.0,36700000.0,418000000.0,Russian,Diversified
355,Desh Gupta,4810000000.0,22000000.0,119000000.0,India,Health Care
356,Leonid Fedun,4800000000.0,51200000.0,-87200000.0,Russian,Energy
357,Wei Jian Jun,4790000000.0,-22000000.0,72600000.0,China,Consumer
